,,,,,,,,,,,,,,Banyak Keluhan,20
List Keluhan ASETA Basic / Esensial / Enhancement,,,,,,,,,,,,,,LAM,16
https://drive.google.com/drive/folders/16ZNeEGCp7A7ZzJpIfvN0Ux8eUgT28Muq,,,,,,,,,,,,,,KSA,3
,,,,,,,,,,,,,,STYP,1
No,Tanggal,Kode Tiket,Kode Customer,Customer,Platform,Menu,Jenis,Keluhan/Permintaan,Lampiran,Status Keluhan,Remarks,,,,
1,9/30/2025,#LAM09302025001,LAM,Lycon Asia Mandiri,Printer App,QR Code Aseta Printing,Permintaan,"Terdapat kendala dimana saat login pada Aplikasi QR code, terdapat masalah seperti pada gambar yang dilampirkan. Isu tersebut terjadi karena perbedaan pada awal huruf username. Contohnya randi.suria@lycon.co.id dan Randi.suria@lycon.co.id",Lampiran,Closed,,,,,
2,7/10/2025,#KSA10072025001,KSA,Komunitas Sagala Aya,Android HH CHANWAY,Stock Opname ,Permintaan,Save pada saat stock opname untuk Customer KSA mengalami force close. Tapi ketika ditelusur oleh tim operasional tidak ada force close yang terjadi melainkan data yang di save tidak tersimpan ,-,Closed,,,,,
3,13/10/2025,#LAM13102025002,LAM,Lycon Asia Mandiri,Web App,Master Data -> Asset ,Permintaan,"Perubahan kode aset yang sudah ter-register.
1. SALAH : LAM-VEH-2025-0035
BENAR : LAM-VEH-2013-0035

2. SALAH : LAM-VEH-2024-0034
BENAR : LAM-VEH-2016-0034",-,Closed,,,,,
4,20/10/2025,#LAM20102025003,LAM,Lycon Asia Mandiri,Web App,Master Data -> Asset ,Permintaan,"Perubahan kode aset yang sudah ter-register.
1. AWAL/SALAH : LAM-VEH-2013-0035

2. AKHIR/BENAR : LAM-VEH-2014-0035",-,Closed,,,,,
5,20/10/2025,#STYP20102025001,STYP,Gereje St. Yohanes Penginjil,Web App,Login Autentikasi,Permintaan,"Akun sarpras2blokb@gmail.com password invalid, 2x coba gagal",-,Closed,,,,,
6,21/10/2025,#LAM21102025004,LAM,Lycon Asia Mandiri,Printer App,QR Code Aseta Printing,Permintaan,"Pengaturan printer selalu berubah setiap kali akan digunakan kembali. Saat printer tidak digunakan untuk sementara waktu, pengaturannya kembali ke awal sehingga harus disetel ulang, dan hal ini menghambat efisiensi waktu kerja.",-,Closed,,,,,
7,22/10/2025,#LAM22102025005,LAM,Lycon Asia Mandiri,Android HP,Aseta Mobile,Permintaan,"Customer PT. Lycon Asia Mandiri memiliki dua akun, yaitu akun randi.suria@lycon.co.id yang menggunakan QR Code, dan akun tri_agustian@lycon.co.id yang menggunakan RFID.",-,Closed,,,,,
8,22/10/2025,#LAM22102025006,LAM,Lycon Asia Mandiri,Printer App,QR Code Aseta Printing,Permintaan,Terjadi kendala pada aplikasi desktop Aseta dimana salah satu user PT. Lycon tidak dapat melakukan login dan muncul notifikasi Unhandled exception,Lampiran,Closed,,,,,
9,23/10/2025,#LAM23102025007,LAM,Lycon Asia Mandiri,Web App,Master Data -> Asset ,Permintaan,"Edit nomor register berikut, ada kesalahan pada tahunnya:
Awal/Salah: LAM-OFE-2024-0014
Akhir/Benar: LAM-OFE-2025-0014",-,Closed,,,,,
10,24/10/2025,#LAM24102025008,LAM,Lycon Asia Mandiri,Web App,Master Data -> Asset ,Permintaan,"Edit nomor registrasi berikut karena masih kurang satu tanda “-” di bagian akhir:
Awal (salah): LAM-VEH-2021-0023
Akhir (benar): LAM-VEH-2021-0023-",-,Closed,,,,,
